iteration, fitness, path
0, 4925.0, "0;20;8;14;24;23;7;10;16;17;11;13;1;4;21;9;19;18;5;2;6;12;22;15;3;0"
1, 4303.0, "0;17;20;8;14;13;11;21;24;16;23;10;1;3;7;4;19;18;5;2;6;12;22;15;9;0"
2, 4301.0, "0;17;20;8;14;13;11;21;24;16;23;10;1;3;7;4;9;19;18;5;2;6;12;22;15;0"
3, 4211.0, "0;15;17;10;6;21;23;16;4;2;7;24;11;5;3;9;14;8;13;18;20;19;12;22;1;0"
4, 3955.0, "0;19;8;9;15;17;3;11;16;23;22;21;24;10;4;2;7;12;6;13;18;5;1;20;14;0"
5, 3955.0, "0;19;8;9;15;17;3;11;16;23;22;21;24;10;4;2;7;12;6;13;18;5;1;20;14;0"
6, 3872.0, "0;8;14;13;11;9;6;12;22;21;24;16;23;10;1;3;7;4;19;18;5;2;20;15;17;0"
7, 3750.0, "0;8;14;13;9;6;12;22;21;24;16;23;10;1;3;7;4;19;18;11;5;2;20;15;17;0"
8, 3513.0, "0;19;8;9;15;17;16;22;21;24;23;1;3;18;5;10;4;2;7;12;6;20;14;13;11;0"
9, 3444.0, "0;17;20;8;14;13;11;19;18;9;6;12;22;21;24;16;23;7;10;1;3;4;2;5;15;0"
10, 3130.0, "0;19;8;9;15;17;11;6;12;22;21;24;16;23;1;3;7;5;10;4;2;18;20;14;13;0"
11, 3006.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;5;10;4;2;18;20;14;13;0"
12, 2902.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;5;4;2;7;10;18;20;14;13;0"
13, 2902.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;5;4;2;7;10;18;20;14;13;0"
14, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
15, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
16, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
17, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
18, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
19, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
20, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
21, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
22, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
23, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
24, 2821.0, "0;19;8;9;15;17;11;6;12;22;21;24;23;16;1;3;7;10;5;4;2;18;20;14;13;0"
