iteration, fitness, path
0, 4359.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;19;14;18;4;12;21;23;6;7;20;15;8;0"
1, 4359.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;19;14;18;4;12;21;23;6;7;20;15;8;0"
2, 4359.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;19;14;18;4;12;21;23;6;7;20;15;8;0"
3, 4359.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;19;14;18;4;12;21;23;6;7;20;15;8;0"
4, 4104.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;14;19;18;4;12;21;23;6;7;20;15;8;0"
5, 4104.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;14;19;18;4;12;21;23;6;7;20;15;8;0"
6, 4021.0, "0;1;22;24;10;16;17;9;11;5;3;2;13;14;20;18;4;12;21;23;6;7;19;15;8;0"
7, 3975.0, "0;1;22;24;10;16;17;9;11;3;5;2;13;14;20;18;4;12;21;23;6;7;19;15;8;0"
8, 3937.0, "0;1;22;12;10;16;17;9;11;3;5;2;13;14;20;18;4;24;21;23;6;7;19;15;8;0"
9, 3937.0, "0;1;22;12;10;16;17;9;11;3;5;2;13;14;20;18;4;24;21;23;6;7;19;15;8;0"
10, 3937.0, "0;1;22;12;10;16;17;9;11;3;5;2;13;14;20;18;4;24;21;23;6;7;19;15;8;0"
11, 3937.0, "0;1;22;12;10;16;17;9;11;3;5;2;13;14;20;18;4;24;21;23;6;7;19;15;8;0"
12, 3885.0, "0;1;22;12;10;16;17;9;11;3;5;19;13;14;20;18;4;24;21;23;6;7;2;15;8;0"
13, 3885.0, "0;1;22;12;10;16;17;9;11;3;5;19;13;14;20;18;4;24;21;23;6;7;2;15;8;0"
14, 3883.0, "0;1;22;12;10;16;17;9;11;5;3;19;13;14;20;18;4;24;21;23;6;7;2;15;8;0"
15, 3723.0, "0;1;22;23;10;16;17;9;11;5;3;19;13;14;20;18;4;24;21;12;6;7;2;15;8;0"
16, 3585.0, "0;1;24;23;10;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;2;15;8;0"
17, 3585.0, "0;1;24;23;10;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;2;15;8;0"
18, 3585.0, "0;1;24;23;10;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;2;15;8;0"
19, 3377.0, "0;10;24;23;1;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;2;15;8;0"
20, 3377.0, "0;10;24;23;1;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;2;15;8;0"
21, 3228.0, "0;2;24;23;1;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;10;15;8;0"
22, 3228.0, "0;2;24;23;1;16;17;9;11;5;3;19;13;14;20;18;4;22;21;12;6;7;10;15;8;0"
23, 3105.0, "0;5;24;23;1;16;17;9;11;2;3;19;13;14;20;18;4;22;21;12;6;7;10;15;8;0"
24, 3066.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;15;8;0"
25, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
26, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
27, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
28, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
29, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
30, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
31, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
32, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
33, 3055.0, "0;5;24;23;1;16;17;9;11;2;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
34, 3029.0, "0;5;24;23;1;16;17;2;11;9;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
35, 3029.0, "0;5;24;23;1;16;17;2;11;9;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
36, 3029.0, "0;5;24;23;1;16;17;2;11;9;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
37, 3029.0, "0;5;24;23;1;16;17;2;11;9;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
38, 3029.0, "0;5;24;23;1;16;17;2;11;9;18;19;13;14;20;3;4;22;21;12;6;7;10;8;15;0"
39, 3004.0, "0;5;4;23;1;16;17;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
40, 3004.0, "0;5;4;23;1;16;17;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
41, 3004.0, "0;5;4;23;1;16;17;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
42, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
43, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
44, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
45, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
46, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
47, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
48, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
49, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
50, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
51, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
52, 2966.0, "0;5;4;17;1;16;23;2;11;9;18;19;13;14;20;3;24;22;21;12;6;7;10;8;15;0"
53, 2866.0, "0;5;4;3;1;16;23;2;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
54, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
55, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
56, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
57, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
58, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
59, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
60, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
61, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
62, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
63, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
64, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
65, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
66, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
67, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
68, 2842.0, "0;5;2;3;1;16;23;4;11;9;18;19;13;14;20;17;24;22;21;12;6;7;10;8;15;0"
