iteration, fitness, path
0, 4446.0, "0;22;3;7;2;11;16;24;1;17;9;20;19;14;5;4;13;8;15;18;6;10;12;21;23;0"
1, 4231.0, "0;22;3;7;2;11;16;24;1;17;9;20;13;14;5;4;19;8;15;18;6;10;12;21;23;0"
2, 4231.0, "0;22;3;7;2;11;16;24;1;17;9;20;13;14;5;4;19;8;15;18;6;10;12;21;23;0"
3, 4202.0, "0;22;3;7;2;11;16;24;1;17;9;20;14;13;5;4;19;8;15;18;6;10;12;21;23;0"
4, 4168.0, "0;4;3;7;2;11;16;24;1;17;9;20;14;13;5;22;19;8;15;18;6;10;12;21;23;0"
5, 4047.0, "0;4;3;7;2;11;16;23;1;17;9;20;14;13;5;22;19;8;15;18;6;10;12;21;24;0"
6, 4047.0, "0;4;3;7;2;11;16;23;1;17;9;20;14;13;5;22;19;8;15;18;6;10;12;21;24;0"
7, 3828.0, "0;4;3;7;2;11;16;23;1;17;9;20;14;13;5;24;19;8;15;18;6;10;12;21;22;0"
8, 3746.0, "0;4;24;7;2;11;16;23;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
9, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
10, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
11, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
12, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
13, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
14, 3739.0, "0;4;24;7;2;11;23;16;1;17;9;20;14;13;5;3;19;8;15;18;6;10;12;21;22;0"
15, 3501.0, "0;4;24;7;2;5;23;16;1;17;9;20;14;13;11;3;19;8;15;18;6;10;12;21;22;0"
16, 3494.0, "0;23;24;7;2;5;4;16;1;17;9;20;14;13;11;3;19;8;15;18;6;10;12;21;22;0"
17, 3494.0, "0;23;24;7;2;5;4;16;1;17;9;20;14;13;11;3;19;8;15;18;6;10;12;21;22;0"
18, 3488.0, "0;23;24;7;2;5;4;16;1;17;9;20;14;13;19;3;11;8;15;18;6;10;12;21;22;0"
19, 3457.0, "0;23;24;7;2;5;4;16;1;17;18;20;14;13;19;3;11;8;15;9;6;10;12;21;22;0"
20, 3457.0, "0;23;24;7;2;5;4;16;1;17;18;20;14;13;19;3;11;8;15;9;6;10;12;21;22;0"
21, 3457.0, "0;23;24;7;2;5;4;16;1;17;18;20;14;13;19;3;11;8;15;9;6;10;12;21;22;0"
22, 3457.0, "0;23;24;7;2;5;4;16;1;17;18;20;14;13;19;3;11;8;15;9;6;10;12;21;22;0"
23, 3382.0, "0;23;24;7;6;5;4;16;1;17;18;20;14;13;19;3;11;8;15;9;2;10;12;21;22;0"
24, 3286.0, "0;23;24;7;6;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
25, 3286.0, "0;23;24;7;6;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
26, 3286.0, "0;23;24;7;6;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
27, 3267.0, "0;23;24;6;7;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
28, 3267.0, "0;23;24;6;7;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
29, 3267.0, "0;23;24;6;7;5;4;16;1;17;18;20;14;13;19;9;11;8;15;3;2;10;12;21;22;0"
30, 3248.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;8;15;3;2;10;12;21;22;0"
31, 3248.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;8;15;3;2;10;12;21;22;0"
32, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
33, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
34, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
35, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
36, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
37, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
38, 3240.0, "0;23;24;6;7;5;4;16;1;17;19;20;14;13;18;9;11;15;8;3;2;10;12;21;22;0"
39, 3198.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;18;9;17;15;8;3;2;10;12;21;22;0"
40, 3198.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;18;9;17;15;8;3;2;10;12;21;22;0"
41, 3198.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;18;9;17;15;8;3;2;10;12;21;22;0"
42, 3198.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;18;9;17;15;8;3;2;10;12;21;22;0"
43, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
44, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
45, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
46, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
47, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
48, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
49, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
50, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
51, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
52, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
53, 3170.0, "0;23;24;6;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;10;12;21;22;0"
54, 3121.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;6;12;21;22;0"
55, 3121.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;6;12;21;22;0"
56, 3121.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;6;12;21;22;0"
57, 3121.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;17;15;18;3;2;6;12;21;22;0"
58, 3041.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;18;15;17;3;2;6;12;21;22;0"
59, 3041.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;18;15;17;3;2;6;12;21;22;0"
60, 3041.0, "0;23;24;10;7;5;4;16;1;11;19;20;14;13;8;9;18;15;17;3;2;6;12;21;22;0"
61, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
62, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
63, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
64, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
65, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
66, 3029.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;9;18;15;11;3;2;6;12;21;22;0"
67, 3002.0, "0;23;24;10;7;5;4;16;1;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
68, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
69, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
70, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
71, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
72, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
73, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
74, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
75, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
76, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
77, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
78, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
79, 2948.0, "0;1;24;10;7;5;4;16;23;17;19;20;14;13;8;18;9;15;11;3;2;6;12;21;22;0"
