iteration, fitness, path
0, 4538.0, "0;19;20;7;16;4;6;5;12;21;22;24;13;14;2;18;15;1;23;10;17;3;9;8;11;0"
1, 4504.0, "0;19;20;7;16;4;6;5;12;21;22;24;13;14;2;18;15;10;23;1;17;3;9;8;11;0"
2, 4503.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;2;18;15;10;23;1;17;3;9;8;11;0"
3, 4503.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;2;18;15;10;23;1;17;3;9;8;11;0"
4, 4411.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;2;18;15;10;23;1;3;17;9;8;11;0"
5, 4385.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;18;15;10;23;1;3;17;2;8;11;0"
6, 3889.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;18;2;10;23;1;3;17;15;8;11;0"
7, 3889.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;18;2;10;23;1;3;17;15;8;11;0"
8, 3889.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;18;2;10;23;1;3;17;15;8;11;0"
9, 3889.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;18;2;10;23;1;3;17;15;8;11;0"
10, 3810.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;18;0"
11, 3810.0, "0;19;20;6;16;4;7;5;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;18;0"
12, 3421.0, "0;19;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;18;0"
13, 3410.0, "0;18;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;19;0"
14, 3410.0, "0;18;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;19;0"
15, 3410.0, "0;18;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;19;0"
16, 3410.0, "0;18;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;19;0"
17, 3410.0, "0;18;20;5;16;4;7;6;12;21;22;24;13;14;9;11;2;10;23;1;3;17;15;8;19;0"
